Broker    Stock          Value     Changes   Date and Time
Broker 1  Technology     195       14        2/13/2026 10:43:25 PM
Broker 4  Retail         44        14        2/13/2026 10:43:25 PM
Broker 2  Technology     195       14        2/13/2026 10:43:25 PM
Broker 3  Technology     195       14        2/13/2026 10:43:25 PM
Broker 4  Technology     195       14        2/13/2026 10:43:25 PM
Broker 2  Banking        114       14        2/13/2026 10:43:25 PM
Broker 4  Commodity      609       14        2/13/2026 10:43:25 PM
Broker 3  Banking        114       14        2/13/2026 10:43:25 PM
Broker 4  Banking        114       14        2/13/2026 10:43:25 PM
Broker 1  Retail         45        15        2/13/2026 10:43:26 PM
Broker 4  Retail         45        15        2/13/2026 10:43:26 PM
Broker 3  Technology     196       15        2/13/2026 10:43:26 PM
Broker 4  Technology     196       15        2/13/2026 10:43:26 PM
Broker 2  Commodity      624       15        2/13/2026 10:43:26 PM
Broker 4  Commodity      624       15        2/13/2026 10:43:26 PM
Broker 3  Banking        117       15        2/13/2026 10:43:26 PM
Broker 4  Banking        117       15        2/13/2026 10:43:26 PM
Broker 1  Retail         46        16        2/13/2026 10:43:26 PM
Broker 4  Retail         46        16        2/13/2026 10:43:26 PM
Broker 1  Technology     197       16        2/13/2026 10:43:26 PM
Broker 2  Technology     197       16        2/13/2026 10:43:26 PM
Broker 3  Technology     197       16        2/13/2026 10:43:26 PM
Broker 4  Technology     197       16        2/13/2026 10:43:26 PM
Broker 2  Commodity      626       16        2/13/2026 10:43:26 PM
Broker 3  Banking        119       16        2/13/2026 10:43:26 PM
Broker 4  Commodity      626       16        2/13/2026 10:43:26 PM
Broker 4  Banking        119       16        2/13/2026 10:43:26 PM
Broker 1  Retail         47        17        2/13/2026 10:43:27 PM
Broker 4  Retail         47        17        2/13/2026 10:43:27 PM
Broker 1  Technology     200       17        2/13/2026 10:43:27 PM
Broker 2  Technology     200       17        2/13/2026 10:43:27 PM
Broker 3  Technology     200       17        2/13/2026 10:43:27 PM
Broker 4  Technology     200       17        2/13/2026 10:43:27 PM
Broker 2  Banking        122       17        2/13/2026 10:43:27 PM
Broker 3  Banking        122       17        2/13/2026 10:43:27 PM
Broker 4  Commodity      632       17        2/13/2026 10:43:27 PM
Broker 4  Banking        122       17        2/13/2026 10:43:27 PM
Broker 1  Retail         48        18        2/13/2026 10:43:27 PM
Broker 4  Retail         48        18        2/13/2026 10:43:27 PM
Broker 1  Technology     204       18        2/13/2026 10:43:27 PM
Broker 2  Technology     204       18        2/13/2026 10:43:27 PM
Broker 3  Technology     204       18        2/13/2026 10:43:27 PM
Broker 4  Technology     204       18        2/13/2026 10:43:27 PM
Broker 2  Banking        125       18        2/13/2026 10:43:27 PM
Broker 3  Banking        125       18        2/13/2026 10:43:27 PM
Broker 4  Banking        125       18        2/13/2026 10:43:27 PM
Broker 1  Retail         49        19        2/13/2026 10:43:28 PM
Broker 4  Retail         49        19        2/13/2026 10:43:28 PM
Broker 1  Technology     207       19        2/13/2026 10:43:28 PM
Broker 2  Technology     207       19        2/13/2026 10:43:28 PM
Broker 3  Technology     207       19        2/13/2026 10:43:28 PM
Broker 4  Technology     207       19        2/13/2026 10:43:28 PM
Broker 2  Commodity      651       19        2/13/2026 10:43:28 PM
Broker 3  Banking        128       19        2/13/2026 10:43:28 PM
Broker 4  Commodity      651       19        2/13/2026 10:43:28 PM
Broker 4  Banking        128       19        2/13/2026 10:43:28 PM
Broker 1  Retail         50        20        2/13/2026 10:43:28 PM
Broker 4  Retail         50        20        2/13/2026 10:43:28 PM
Broker 2  Technology     208       20        2/13/2026 10:43:28 PM
Broker 3  Technology     208       20        2/13/2026 10:43:28 PM
Broker 4  Technology     208       20        2/13/2026 10:43:28 PM
Broker 2  Commodity      662       20        2/13/2026 10:43:28 PM
Broker 4  Commodity      662       20        2/13/2026 10:43:28 PM
Broker 3  Banking        129       20        2/13/2026 10:43:28 PM
Broker 4  Banking        129       20        2/13/2026 10:43:28 PM
Broker 1  Retail         51        21        2/13/2026 10:43:29 PM
Broker 4  Retail         51        21        2/13/2026 10:43:29 PM
Broker 2  Technology     211       21        2/13/2026 10:43:29 PM
Broker 3  Technology     211       21        2/13/2026 10:43:29 PM
Broker 4  Technology     211       21        2/13/2026 10:43:29 PM
Broker 2  Banking        130       21        2/13/2026 10:43:29 PM
Broker 4  Commodity      665       21        2/13/2026 10:43:29 PM
Broker 4  Banking        130       21        2/13/2026 10:43:29 PM
Broker 1  Retail         52        22        2/13/2026 10:43:29 PM
Broker 4  Retail         52        22        2/13/2026 10:43:29 PM
Broker 1  Technology     214       22        2/13/2026 10:43:29 PM
Broker 2  Technology     214       22        2/13/2026 10:43:29 PM
Broker 3  Technology     214       22        2/13/2026 10:43:29 PM
Broker 4  Technology     214       22        2/13/2026 10:43:29 PM
Broker 2  Commodity      667       22        2/13/2026 10:43:29 PM
Broker 2  Banking        131       22        2/13/2026 10:43:29 PM
Broker 4  Commodity      667       22        2/13/2026 10:43:29 PM
Broker 3  Banking        131       22        2/13/2026 10:43:29 PM
Broker 4  Banking        131       22        2/13/2026 10:43:29 PM
Broker 1  Retail         53        23        2/13/2026 10:43:30 PM
Broker 2  Technology     218       23        2/13/2026 10:43:30 PM
Broker 3  Technology     218       23        2/13/2026 10:43:30 PM
Broker 4  Technology     218       23        2/13/2026 10:43:30 PM
Broker 2  Commodity      677       23        2/13/2026 10:43:30 PM
Broker 2  Banking        132       23        2/13/2026 10:43:30 PM
Broker 3  Banking        132       23        2/13/2026 10:43:30 PM
Broker 4  Banking        132       23        2/13/2026 10:43:30 PM
Broker 1  Technology     220       24        2/13/2026 10:43:30 PM
Broker 2  Technology     220       24        2/13/2026 10:43:30 PM
Broker 3  Technology     220       24        2/13/2026 10:43:30 PM
Broker 4  Technology     220       24        2/13/2026 10:43:30 PM
Broker 1  Retail         54        24        2/13/2026 10:43:30 PM
Broker 4  Retail         54        24        2/13/2026 10:43:30 PM
Broker 2  Commodity      693       24        2/13/2026 10:43:30 PM
Broker 4  Commodity      693       24        2/13/2026 10:43:30 PM
Broker 2  Banking        135       24        2/13/2026 10:43:30 PM
Broker 3  Banking        135       24        2/13/2026 10:43:30 PM
Broker 4  Banking        135       24        2/13/2026 10:43:30 PM
Broker 1  Retail         55        25        2/13/2026 10:43:31 PM
Broker 2  Technology     224       25        2/13/2026 10:43:31 PM
Broker 3  Technology     224       25        2/13/2026 10:43:31 PM
Broker 4  Technology     224       25        2/13/2026 10:43:31 PM
Broker 2  Commodity      701       25        2/13/2026 10:43:31 PM
Broker 4  Commodity      701       25        2/13/2026 10:43:31 PM
Broker 2  Banking        136       25        2/13/2026 10:43:31 PM
Broker 3  Banking        136       25        2/13/2026 10:43:31 PM
Broker 4  Banking        136       25        2/13/2026 10:43:31 PM
